Реклама,Линк,Статус,CPA,ROAS,CPC,Spend
52513543257602 Ad2 | Urgency 15 септ,,Running,,,0.35,4.53
52513543254402 Ad1 | 3 месеца сън,,Running,,,0.34,1.72
52513543283802 Ad5 | Podaruk,,Running,,,0.74,1.48
52513543277202 Ad4 | Plashtash 2 vzimash 3,,Running,,,0.2,1.4
52513543314402 Ad6 | Sport lqtna,,Running,,,0.52,0.52
52513543347002 Ad8 | Chista stoynost,,Running,,,0.26,0.26
52513543338202 Ad7 | Iskrivena pregrada,,Running,,,,0.23
52513543269002 Ad3 | Kakvo pechelya,,Running,,,,0.06
02 Купон,https://raw.githubusercontent.com/aibrandscale/noseway-refs/main/creatives-2026-09-07/02-%D0%9A%D1%83%D0%BF%D0%BE%D0%BD.jpg,On hold,,,,
35 Уравнението,https://raw.githubusercontent.com/aibrandscale/noseway-refs/main/creatives-2026-09-07/35-%D0%A3%D1%80%D0%B0%D0%B2%D0%BD%D0%B5%D0%BD%D0%B8%D0%B5%D1%82%D0%BE.jpg,On hold,,,,
36 Летен черен петък,https://raw.githubusercontent.com/aibrandscale/noseway-refs/main/creatives-2026-09-07/36-%D0%9B%D0%B5%D1%82%D0%B5%D0%BD-%D1%87%D0%B5%D1%80%D0%B5%D0%BD-%D0%BF%D0%B5%D1%82%D1%8A%D0%BA.jpg,On hold,,,,
37 Звуковата вълна,https://raw.githubusercontent.com/aibrandscale/noseway-refs/main/creatives-2026-09-07/37-%D0%97%D0%B2%D1%83%D0%BA%D0%BE%D0%B2%D0%B0%D1%82%D0%B0-%D0%B2%D1%8A%D0%BB%D0%BD%D0%B0.jpg,On hold,,,,
39 Складът,https://raw.githubusercontent.com/aibrandscale/noseway-refs/main/creatives-2026-09-07/39-%D0%A1%D0%BA%D0%BB%D0%B0%D0%B4%D1%8A%D1%82.jpg,On hold,,,,
40 Най-голямата оферта,https://raw.githubusercontent.com/aibrandscale/noseway-refs/main/creatives-2026-09-07/40-%D0%9D%D0%B0%D0%B9-%D0%B3%D0%BE%D0%BB%D1%8F%D0%BC%D0%B0%D1%82%D0%B0-%D0%BE%D1%84%D0%B5%D1%80%D1%82%D0%B0.jpg,On hold,,,,
41 Двойното заглавие,https://raw.githubusercontent.com/aibrandscale/noseway-refs/main/creatives-2026-09-07/41-%D0%94%D0%B2%D0%BE%D0%B9%D0%BD%D0%BE%D1%82%D0%BE-%D0%B7%D0%B0%D0%B3%D0%BB%D0%B0%D0%B2%D0%B8%D0%B5.jpg,On hold,,,,
